投稿本文	投稿日時	主観_喜び	主観_悲しみ	主観_期待	主観_驚き	主観_怒り	主観_恐れ	主観_嫌悪	主観_信頼	客観1_喜び	客観1_悲しみ	客観1_期待	客観1_驚き	客観1_怒り	客観1_恐れ	客観1_嫌悪	客観1_信頼	客観2_喜び	客観2_悲しみ	客観2_期待	客観2_驚き	客観2_怒り	客観2_恐れ	客観2_嫌悪	客観2_信頼	客観3_喜び	客観3_悲しみ	客観3_期待	客観3_驚き	客観3_怒り	客観3_恐れ	客観3_嫌悪	客観3_信頼
微分方程式にせよ電場にせよ聞かれたら教えてやれそうなことは多いけど、自分のことが手一杯であまりそれどころじゃないw	2018/07/31 23:48	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0
演技本番で4LzのGOE加点もらう夢見た	2018/09/09 08:42	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0
来年後期の部練で、よく出そうな言葉「今日も幹部おらんな」	2018/09/24 23:26	1	1	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0
コスギに靴預けることで、研磨と荷物軽量化が兼ねられてつよい	2018/11/12 11:53	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0
CMの「インク代90%OFF」が「リンク代90%OFF」に聞こえて反応してもた	2018/12/02 23:27	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0	0
まって、アマゾンのアドベンチャー・タイム有料になってる、、、しょっく、、、、、	2018/12/20 22:41	0	2	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	3	0	2	0	0	0	0
ポーアイってレアワードすぎる	2019/02/09 13:22	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0
ザギトワ選手、動きが止まる時間がマジで無かった	2019/03/20 20:58	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	0
貸切時間が連絡なく勝手に変えられてるの割とあるよな	2019/03/25 17:46	0	1	0	2	2	1	1	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	3	0
阪名戦2019 は 6/30(日)16:30〜19:55＠邦和	2019/04/03 10:41	0	0	2	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0
